,text,sentiment
1953,hey how about you guys make a charger that lasts more than fucking weeks,0
1301,apple fibonacci levels intraday update aapl http t co yv qe bgxd,1
89, aapl did carl icahn cause a new private equity bubble http t co f mv zld,1
3362,strikes me as somewhat stupid that have sent me a brand new iphone without the latest software on so i can t restore my old stuff ,0
80, aapl beacons hit stores ahead of holidays http t co ssdd yrfjt,1
1203, awesome paid apps that are free for a limited time save over https t co duyonxo da via ,1
3032,rt love the is supporting with workshops http t co wp d fnjnu,1
1510,apple google amazon und facebook http t co jfgdmfsza,1
124, aapl one of apple s earliest employees describes first steve jobs http t co e xzglora,1
2026,i bet is better some peeps http t co v m ynman,1
3745,zuckerberg attacks if apple really cared about customers iphones would cost less aapl http t co xg cpjwxkh,0
3066,rt how an svn connection led to safer conditions for workforce http t co c k fvohq ,1
984, onerepublic wow that s amazing,1
2300,love the new spot http t co nw a ixsje,1
56, aapl apple executives to take stand in antitrust trial http t co mzzn vffi ,1
1021, saifbins eed get the cloud to butt extension on your web browser,0
1952,hey fuck you just let me change stores,0
857, jengolbeck agreed,1
1848,fuck you ,0
3359,still waiting new emojis where them at ,0
334, seems to have killed genius bar reservations online or via macs in apple stores even ,1
1565,as apple still struggles to meet iphone demand canaccord raises price target to aapl http t co irzi q f r,1
2018,http t co vs ro tb n amazon enigma http t co uwkngn ded ,1
129, aapl pm abe says apple to build big center in japan media http t co deavv aymk,1
418, apple is awesome you ,1
1305,apple fibonacci levels last intraday update aapl http t co oeyeqn er,1
3391,thanks store for helping me out with my iphone today great service with a smile ,1
1956,hey i think u need a new product ipster,0
300, aapl to before christmas can t see the slid going any further ,1
3656,why does my phone suck so much ,0
572, apple need to sort this b llshit out with safari in yosemite can not find server ,0
1346,apple debuts new ipad air ad with new website section http t co q satha s ,1
551, apple ischool http t co wh sh udov ,1
1984,how handles their http t co zjsuukaoyd,1
1152, windows and yet i somehow would rather have a macbook air ,1
930, nbcnewyork encourages this marxist bs that isis gave order not arrest marxist dupes trespass ,0
2027,i called operator to speak to someone about corp funding the frank o geary baseball stadium in st pete fl shehungup help ,1
2097,i m going to press the play button wait no i m not fix your apps http t co eteewiijro,0
3379,thank you for fixing my friend s phone in less than hours free of charge you guys are the best ,1
710, appstore when is the release for the new update in the appstore says the update is in your hands,1
1427,apple intraday comments updated premium users http t co g tedlcb z,1
2038,i had to do made the from iphone to the galaxy note edge keep up http t co vve htp n,0
598, apple removed songs from ipods without telling customers http t co c jxfuncj,0
1789,feel so lost with out my phone iphone chargers are horrendous ,0
3720,yo i didnt my phone at all and when i disconnected it from charger it went down we are gonna scrap now,0
2673,rt gets price boost on back of strong demand http t co f qtgibddq,1
2560,rt why does my phone suck so much ,0
2631,rt hey know my icloud storage is full you for reminding times a day ,0
1545,apple s iphone crushes samsung s galaxy by more than to in japan aapl http t co hdowuo uv,1
2398,my phone is so shitty even the time freezes http t co mh rmlqfx,0
42, aapl alabama anti discrimination bill be named after apple ceo cook http t co j hgjmjbzd,1
841, jacobrossi yeah seriously why doesn t have one good developer relations i think to have one ,0
1910,had soo many iphones and never had a problem smashed screens in months with this u can suck my balls,0
1209, a lot of times people don t know what they want until you show it to them steve jobs ,1
617, apple store on th ave http t co oixg ypfn ,1
1844,fuck type of shit is this http t co zyb suepz,0
2442,no videos tonight turns out ipads still need electricity to function figure it out ps lol key studies at ,0
2332,massive mobile tech companies like are excited by wearables and investing million into http t co geaenrqdh,1
2739,rt there is no avocado emoji may i ask why ,1
3444,the new ipad air change http t co cnf s ,1
532, apple i think steve jobs would have been proud http t co pkkmkylspt,1
1112, thehill i cite the us constitution where judges cannot pass laws violation of the separation of powers,0
109, aapl in emails jobs determined to keep ipod apple only http t co ox p tihrs,1
1540,apple s iphone international prices are higher us aapl http t co bw hfed r,1
523, apple i cannot see the airplay icon on my macbook air in order to show whats on my computer screen onto my through apple tv,0
2291,lol tryna figure out why this file say its from http t co oxgytgw p ,1
3679,why why have you put gay stuff in my fucking iphone http t co r brjshrxk,0
2645,rt ensure you stay in touch on the go ck out brands like http t co v gviv qnh,1
1266,apple fibonacci levels intraday pre opening aapl http t co uecstwopcp,1
1385,apple inc leads momentum stocks motors inc loses steam http t co eviw kcsz ,1
2243,join on december for the hour of code a free one hour introduction to the basics of computer programming http t co uaj vsqg v,1
2714,rt why the fuck is there a deleted photo album ,0
1016, renoxalex or hang loose ,1
3711,yeeaaayyy awesome os x yosemite roccckkkssss m https t co ck wpnn v ,1
3689,woah cashback from store for deals at http t co fnrogto qo and more ,1
3550,unlikely supply chain rumor suggests a inch iphone model next year aapl http t co eizn sdem,1
272, ubs sales and eps http t co edlbx ise,1
1381,apple inc is catching up on iphone supply but still lagging demand http t co kevjux mn ,1
1272,apple fibonacci levels intraday update aapl http t co plry yds,1
1838,fuck ,0
359, when i have gone through iphone chargers in the past montht hank s ,0
1558,apple s pt raised by jmp securities to outperform rating http t co xwaeiu vr aapl ,1
346, is officially beating in the streaming market with graph from http t co uxofimvoc,1
3489,this iphone battery isn t as good as you claim ,0
